Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sacré, Pierre; Kerr, Matthew SD; Subramanian, Sandya; Kahn, Kevin; Gonzalez-Martinez, Jorge; Johnson, Matthew A; Gale, John T; Sarma, Sridevi V; ",Winning versus losing during gambling and its neural correlates,2016 Annual Conference on Information Science and Systems (CISS),,,557-561,2016,IEEE
"Song, Andrew H; Chlon, Leon; Soulat, Hugo; Tauber, John; Subramanian, Sandya; Ba, Demba; Prerau, Michael J; ",Multitaper infinite hidden markov model for eeg,2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),,,5803-5807,2019,IEEE
"Jordan, A; Subramanian, S; Hao, S; ",A computational tool for pre-surgical evaluation of epilepsy patients,2014 40th Annual Northeast Bioengineering Conference (NEBEC),,,1-2,2014,IEEE
"Subramanian, Sandya; Barbieri, Riccardo; Johnson, Kristina; Brown, Emery; ",Characterizing Electrodermal Activity Using Point Processes in Young Children,,,,,,
"Sacré, Pierre; Kerr, Matthew SD; Subramanian, Sandya; Kahn, Kevin; Gonzalez-Martinez, Jorge; Johnson, Matthew A; Sarma, Sridevi V; Gale, John T; ",The precuneus may encode irrationality in human gambling,2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),,,3406-3409,2016,IEEE
"Sacré, Pierre; Kerr, Matthew SD; Subramanian, Sandya; Fitzgerald, Zachary; Kahn, Kevin; Johnson, Matthew A; Niebur, Ernst; Eden, Uri T; González-Martínez, Jorge A; Gale, John T; ",Risk-taking bias in human decision-making is encoded via a right–left brain push–pull system,Proceedings of the National Academy of Sciences,116,4,1404-1413,2019,National Acad Sciences
"Hao, Stephanie; Subramanian, Sandya; Jordan, Austin; Santaniello, Sabato; Yaffe, Robert; Jouny, Christophe C; Bergey, Gregory K; Anderson, William S; Sarma, Sridevi V; ",Computing network-based features from intracranial EEG time series data: application to seizure focus localization,2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,,,5812-5815,2014,IEEE
"Li, Adam; Chennuri, Bhaskar; Subramanian, Sandya; Yaffe, Robert; Gliske, Steve; Stacey, William; Norton, Robert; Jordan, Austin; Zaghloul, Kareem A; Inati, Sara K; ",Using network analysis to localize the epileptogenic zone from invasive EEG recordings in intractable focal epilepsy,Network Neuroscience,2,02,218-240,2018,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …"
"Subramanian, Sandya; Barbieri, Riccardo; Brown, Emery N; ",A systematic method for preprocessing and analyzing electrodermal activity,2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),,,6902-6905,2019,IEEE
"Subramanian, Sandya; Chakravarty, Sourish; Chamadia, Shubham; ",Arousal detection in obstructive sleep apnea using physiology-driven features,2018 Computing in Cardiology Conference (CinC),45,,1-4,2018,IEEE
"Chlon, Leon; Song, Andrew; Subramanian, Sandya; Soulat, Hugo; Tauber, John; Ba, Demba; Prerau, Michael; ",Multitaper Spectral Estimation HDP-HMMs for EEG Sleep Inference,arXiv preprint arXiv:1805.07300,,,,2018,
"Hoggard, Timothy A; Chang, FuJung; Perry, Kelsey Rae; Subramanian, Sandya; Kenworthy, Jessica; Chueng, Julie; Shor, Erika; Hyland, Edel M; Boeke, Jef D; Weinreich, Michael; ",Yeast heterochromatin regulators Sir2 and Sir3 act directly at euchromatic DNA replication origins,PLoS genetics,14,5,e1007418,2018,Public Library of Science
"Sacré, Pierre; Subramanian, Sandya; Kerr, Matthew SD; Kahn, Kevin; Johnson, Matthew A; Bulacio, Juan; González-Martínez, Jorge A; Sarma, Sridevi V; Gale, John T; ",The influences and neural correlates of past and present during gambling in humans,Scientific reports,7,1,17111,2017,Nature Publishing Group UK London
"Sarma, Sridevi V; Subramanian, Sandya; Hao, Stephanie; ",Computatonal tool for pre-surgical evaluation of patients with medically refractory epilepsy,,,,,2016,Google Patents
"Subramanian, Sandya; Barbieri, Riccardo; Brown, Emery N; ",A point process characterization of electrodermal activity,2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),,,37-40,2018,IEEE
"Subramanian, Sandya; Purdon, Patrick L; Barbieri, Riccardo; Brown, Emery N; ",A model-based approach for pulse selection from electrodermal activity,IEEE Transactions on Biomedical Engineering,68,9,2833-2845,2021,IEEE
"Chang, Aaron; Chen, Melinda; Poddar, Piyush; Malpani, Rohil; Malamas, Peter; Subramanian, Sandya; Joon, EOH; George, Kevin; Cohen, Todd J; ",Method and system for decreasing transthoracic impedance for cardioversion and defibrillation,,,,,2016,Google Patents
"Poddar, Piyush; Chang, Aaron Jiunhao; Chen, Melinda; Malamas, Peter; Subramanian, Sandya; Cohen, Todd J; ",Method and system for switching shock vectors and decreasing transthoracic impedance for cardioversion and defibrillation,,,,,2016,Google Patents
"Subramanian, Sandya; Kang, Powei; So, Chun-Ming; Chen, Melinda; Lam, Taylor; Cohen, Todd J; ",Method and system for a wearable defibrillator,,,,,2015,Google Patents
"Subramanian, Sandya; Barbieri, Riccardo; Purdon, Patrick L; Brown, Emery N; ",Analyzing transitions in anesthesia by multimodal characterization of autonomic state,2020 11th Conference of the European Study Group on Cardiovascular Oscillations (ESGCO),,,1-2,2020,IEEE
"Subramanian, Sandya; Barbieri, Riccardo; Purdon, Patrick L; Brown, Emery N; ",Detecting loss and regain of consciousness during propofol anesthesia using multimodal indices of autonomic state,2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),,,824-827,2020,IEEE
"Brown, Emery N; Santa Cruz, Laura A; Subramanian, Sandya; ",Multimodal General Anesthesia in Practice,Anesthesiology News Special Edition,,,,2019,
"Subramanian, Sandya; Barbieri, Riccardo; Brown, Emery N; ",Point Process Temporal Structure Characterizes Electrodermal Activity,Proceedings of the National Academy of Sciences,117,42,26422-26428,2020,
"Subramanian, Sandya; Purdon, Patrick L; Barbieri, Riccardo; Brown, Emery N; ",Quantitative assessment of the relationship between behavioral and autonomic dynamics during propofol-induced unconsciousness,PLOS ONE,16,8,e0254053,2021,
"Subramanian, Sandya; Purdon, Patrick L; Barbieri, Riccardo; Brown, Emery N; ",Elementary Integrate-and-Fire Process Underlies Pulse Amplitudes in Electrodermal Activity,PLoS Computational Biology,17,7,e1009099,2021,
"Subramanian, Sandya; Brown, Emery N; Barbieri, Riccardo; ",Multimodal vs Unimodal Estimation of Sympathetic-Driven Arousal States,2020 Computing in Cardiology,,,1-4,2020,IEEE
"Subramanian, Sandya; Purdon, Patrick; Barbieri, Riccardo; Brown, Emery; ",Pulse Amplitudes from electrodermal activity collected from healthy volunteer subjects at rest and under controlled sedation,,,,,,
"Subramanian, Sandya; Tseng, Bryan; Barbieri, Riccardo; Brown, Emery N; ",An Unsupervised Machine Learning Paradigm for Artifact Removal from Electrodermal Activity in an Uncontrolled Clinical Setting,bioRxiv,,,2021.10. 22.465489,2021,Cold Spring Harbor Laboratory
"Subramanian, Sandya; Purdon, Patrick; Barbieri, Riccardo; Brown, Emery; ",Electrodermal Activity of Healthy Volunteers while Awake and at Rest,,,,,,
"Subramanian, Sandya; Purdon, Patrick; Barbieri, Riccardo; Brown, Emery; ",Behavioral and autonomic dynamics during propofol-induced unconsciousness,,,,,2021,
"Subramanian, S; Barbieri, R; Brown, E; ",Electrodermal activity of healthy volunteers while awake and at rest (version 1.0),PhysioNet,,,,2020,
"Subramanian, Sandya; Tseng, Bryan; Barbieri, Riccardo; Brown, Emery N; ",Unsupervised machine learning methods for artifact removal in electrodermal activity,2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),,,399-402,2021,IEEE
"Tseng, Bryan; Subramanian, Sandya; Purdon, Patrick L; ",Prediction of unconsciousness using clinically available markers,,,,,,
"Subramanian, Sandya; ",Measuring Nociception Under Anesthesia,,,,,2021,Massachusetts Institute of Technology
"Singh, Nalini M; Harrod, Jordan B; Subramanian, Sandya; Robinson, Mitchell; Chang, Ken; Cetin-Karayumak, Suheyla; Dalca, Adrian Vasile; Eickhoff, Simon; Fox, Michael; Franke, Loraine; ",How machine learning is powering neuroimaging to improve brain health,Neuroinformatics,20,4,943-964,2022,Springer US New York
"Subramanian, Sandya; Coleman, Todd P; ",Automated classification of sleep and wake from single day triaxial accelerometer data,2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),,,3665-3668,2022,IEEE
"Tseng, Bryan; Subramanian, Sandya; Barbieri, Riccardo; Brown, Emery N; ",Tonic Electrodermal Activity is a Robust Marker of Psychological and Physiological Changes during Induction of Anesthesia,2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),,,418-421,2022,IEEE
"Subramanian, Sandya; Tseng, Bryan; Barbieri, Riccardo; Brown, Emery N; ",An unsupervised automated paradigm for artifact removal from electrodermal activity in an uncontrolled clinical setting,Physiological Measurement,43,11,115005,2022,IOP Publishing
"Sacré, Pierre; Kerr, Matthew SD; Subramanian, Sandya; Kahn, Kevin; Gonzalez-Martinez, Jorge; Johnson, Matthew A; Gale, John T; Sarma, Sridevi V; ",Fragility in the human decision-making system: When emotion hijacks logic,MONA2: Modeling Neural Activity,,,,2016,
"Sacré, Pierre; Kerr, Matthieu SD; Subramanian, Sandya; Kahn, Kevin; Gonzalez-Martinez, Jorge; Johnson, Matthieu A; Gale, John T; Sarma, Sridevi V; ",Uncovering the dynamical neural basis of the human decision-making system,Neuroscience 2016,,,,2016,
"Subramanian, Sandya; Brown, Emery; Barbieri, Riccardo; ",Tracking nociception under anesthesia using a multimodal metric,,,,,2022,"US Patent App. 17/627,450"
"Subramanian, Sandya; Kunkel, David C; Nguyen, Linda; Coleman, Todd P; ",Exploring the Gut-Brain Connection in Gastroparesis with Autonomic and Gastric Myoelectric Monitoring,IEEE Transactions on Biomedical Engineering,,,,2023,IEEE
"Subramanian, Sandya; Brown, Emery; Barbieri, Riccardo; ",Artifact Removal from Electrodermal Activity Data,,,,,2023,"US Patent App. 17/937,025"
"Subramanian, Sandya; Kunkel, David C; Coleman, Todd P; ",Exploring the aperiodic nature of parasympathetic activity during sleep in idiopathic gastroparesis,2023 45th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),,,,2023,IEEE
"Coleman, Todd; Subramanian, Sandya; ",Systems and Methods for Using Triaxial Accelerometer Data for Sleep Monitoring,,,,,2023,"US Patent App. 18/299,595"
"Subramanian, Sandya; Brown, Emery; Barbieri, Riccardo; ",TRACKING NOCICEPTION UNDER ANESTHESIA USING A MULTIMODAL METRIC,,,,,2023,"US Patent App. 18/314,473"
"Subramanian, Sandya; Kunkel, David; Coleman, Todd; ",Exploring the aperiodic nature of parasympathetic activity during sleep in idiopathic gastroparesis,,,,,,
